Municipio,Casos,ID_OBJETO
Angra dos Reis,81,93
Aperibe,4,94
Araruama,65,95
Areal,2,96
Armacao dos Buzios,14,97
Arraial do Cabo,8,98
Barra do Pirai,14,99
Barra Mansa,14,100
Belford Roxo,105,101
Bom Jardim,4,102
Bom Jesus do Itabapoana,9,103
Cabo Frio,44,104
Cachoeiras de Macacu,5,105
Cambuci,4,106
Carapebus,0,107
Comendador Levy Gasparian,0,108
Campos dos Goytacazes,196,109
Cantagalo,2,110
Cardoso Moreira,5,111
Carmo,2,112
Casimiro de Abreu,14,113
Conceicao de Macabu,6,114
Cordeiro,3,115
Duas Barras,0,116
Duque de Caxias,372,117
Engenheiro Paulo de Frontin,0,118
Guapimirim,61,119
Iguaba Grande,9,120
Itaborai,85,121
Itaguai,37,122
Italva,3,123
Itaocara,3,124
Itaperuna,29,125
Itatiaia,4,126
Japeri,54,127
Laje do Muriae,1,128
Macae,42,129
Macuco,0,130
Mage,129,131
Mangaratiba,9,132
Marica,34,133
Mendes,3,134
Mesquita,43,135
Miguel Pereira,0,136
Miracema,4,137
Natividade,3,138
Nilopolis,38,139
Niteroi,63,140
Nova Friburgo,7,141
Nova Iguacu,291,142
Paracambi,15,143
Paraiba do Sul,2,144
Paraty,19,145
Paty do Alferes,1,146
Petropolis,10,147
Pinheiral,3,148
Pirai,7,149
Porciuncula,6,150
Porto Real,2,151
Quatis,1,152
Queimados,58,153
Quissama,7,154
Resende,27,155
Rio Bonito,23,156
Rio Claro,0,157
Rio das Flores,1,158
Rio das Ostras,25,159
Rio de Janeiro,1003,160
Santa Maria Madalena,1,161
Santo Antonio de Padua,15,162
S Francisco de Itabapoana,6,163
S Fidelis,10,164
S Goncalo,292,165
S Joao da Barra,13,166
S Joao de Meriti,91,167
S Jose de Uba,4,168
S Jose do Vale do Rio Preto,0,169
S Pedro da Aldeia,19,170
S Sebastiao do Alto,1,171
Sapucaia,2,172
Saquarema,17,173
Seropedica,31,174
Silva Jardim,9,175
Sumidouro,4,176
Tangua,8,177
Teresopolis,10,178
Trajano de Moraes,1,179
Tres Rios,10,180
Valenca,2,181
Varre Sai,3,182
Vassouras,3,183
Volta Redonda,47,184
